submitted_on,latitude,longitude,waste_active,type_of_wastesite,site_open_year,site_managed_local,site_close_year,site_years_open,waste_state,waste_category,pollution_evidence,solidwaste_source,municipal_pop_served,municipal_ops_type,municipal_ops_other,commercial_ops_type,industrial_ops_type,sludge_source,sludge_source_other,sludge_ops_type,sludge_ops_other,drinking_treatment,drinking_sludge_local,waste_water_treatment,waste_water_board_mgmt,waste_water_manager,waste_water_sludge_local,waste_water_category
19/06/2018,-13.8386307,33.8530514,Yes,NA,1/1/2018,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/06/2018,-13.8383479,33.8519012,Yes,NA,6/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/06/2018,-13.8381613,33.8527459,Yes,NA,5/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8208454,33.4482666,Yes,NA,4/1/2013,Yes,NA,NA,Solid waste,Household waste,Yes,"Domestic - household (< 50 people), Commercial - collection and disposal, Municipal - community waste site",50 - 500,Disposal (Landfill) Unlicensed Operation,NA,Disposal (Landfill) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-14.0088772,33.8332523,Yes,NA,3/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-14.009156,33.8333812,Yes,NA,4/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8204198,33.4480323,Yes,NA,7/1/2002,Yes,NA,NA,Solid waste,Household waste,Yes,"Commercial - collection and disposal, Municipal - community waste site",50 - 500,Handling and Storage Unlicensed Operation,NA,Handling and Storage Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-14.2535687,33.7720698,Yes,NA,5/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8920774,33.7094635,Yes,NA,3/1/2015,No,NA,NA,Liquid waste,Stagnant water,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Owner,NA,Waste water discharge from Domestic or Municipal sources
20/06/2018,-13.8258226,33.6010822,Yes,NA,5/1/2017,No,NA,NA,Solid waste,Household waste,No,Municipal - community waste site,50 - 500,Disposal (Landfill) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8257793,33.601064,Yes,NA,2/1/2007,No,NA,NA,Solid waste,Medical waste,No,Municipal - community waste site,50 - 500,Incineration (Burning of Waste) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.825613,33.6011857,Yes,NA,10/1/2016,No,NA,NA,Solid waste,Household waste,No,Municipal - community waste site,50 - 500,Disposal (Landfill) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2018,-13.8253823,33.6012486,Yes,NA,10/1/2016,No,NA,NA,Solid waste,Household waste,No,Municipal - community waste site,50 - 500,Disposal (Landfill) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
